1788664305.645073 server started (57718): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788664305.645089 on Linux 7.2.3-arch1-2 #1 SMP PREEMPT_DYNAMIC Thu, 03 Sep 2026 17:55:06 +0000
1788664305.645095 using libevent 2.1.13-stable poll
1788664305.645097 using ncurses 6.6 20251230
1788664305.645155 input_key_build: 0x200000005 (PasteStart) is \033[200~
1788664305.645157 input_key_build: 0x200000006 (PasteEnd) is \033[201~
1788664305.645160 input_key_build: 0x200000008 (F1) is \033OP
1788664305.645161 input_key_build: 0x200000009 (F2) is \033OQ
1788664305.645163 input_key_build: 0x20000000a (F3) is \033OR
1788664305.645165 input_key_build: 0x20000000b (F4) is \033OS
1788664305.645170 input_key_build: 0x20000000c (F5) is \033[15~
1788664305.645172 input_key_build: 0x20000000d (F6) is \033[17~
1788664305.645173 input_key_build: 0x20000000e (F7) is \033[18~
1788664305.645175 input_key_build: 0x20000000f (F8) is \033[19~
1788664305.645177 input_key_build: 0x200000010 (F9) is \033[20~
1788664305.645179 input_key_build: 0x200000011 (F10) is \033[21~
1788664305.645181 input_key_build: 0x200000012 (F11) is \033[23~
1788664305.645183 input_key_build: 0x200000013 (F12) is \033[24~
1788664305.645184 input_key_build: 0x200000014 (IC) is \033[2~
1788664305.645186 input_key_build: 0x200000015 (DC) is \033[3~
1788664305.645188 input_key_build: 0x200000016 (Home) is \033[1~
1788664305.645190 input_key_build: 0x200000017 (End) is \033[4~
1788664305.645192 input_key_build: 0x200000018 (NPage) is \033[6~
1788664305.645194 input_key_build: 0x200000019 (PPage) is \033[5~
1788664305.645196 input_key_build: 0x20000001a (BTab) is \033[Z
1788664305.645198 input_key_build: 0x20000001b (Up) is \033[A
1788664305.645200 input_key_build: 0x20000001c (Down) is \033[B
1788664305.645201 input_key_build: 0x20000001d (Left) is \033[D
1788664305.645203 input_key_build: 0x20000001e (Right) is \033[C
1788664305.645205 input_key_build: 0x20000001f (KP/) is /
1788664305.645207 input_key_build: 0x200000020 (KP*) is *
